"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C8G",2.26288018942178,-1.5583883710619,9.55810206939845,6.73320898629907e-19,8.81719235779623e-17,32.2675927815891
"GALNT6",-2.44959033100557,5.84363911782665,-9.55316092407699,6.97938878667576e-19,9.08989526542923e-17,32.2323504380027
"BTNL9",3.45372602538037,0.190824337812487,9.55085540022222,7.09729364230924e-19,9.19348891050262e-17,32.2159095783925
"KCNS1",4.30195757560429,-0.112240435745194,9.51874604333418,8.96044109871525e-19,1.14217026856177e-16,31.9871419412012
"CAV1",-2.40002680605708,8.1400944494505,-9.50303782790486,1.00414138403501e-18,1.27318751994789e-16,31.8753674331699
"AC106820.4",2.62834942613928,-1.91164748454842,9.46861346029446,1.28842200638048e-18,1.61653114978543e-16,31.6307404896567
"AC009121.3",2.0016440964516,-3.54720092001986,9.40151260242845,2.09185529359053e-18,2.53177880078805e-16,31.1552030688611
"NTN3",2.38251264791446,-3.69730853121008,9.37691793239693,2.49741921012409e-18,2.96277989858483e-16,30.9813356598244
"FSTL3",-2.24846946466104,5.06353392197058,-9.35517320745414,2.92045042062165e-18,3.41393531120864e-16,30.8278102438136
"AL831711.1",2.22054463255186,-2.58918182211814,9.333725616683,3.40723749826531e-18,3.94449465741207e-16,30.6765626606825
"CXCL14",-3.58861106969909,8.11614494895034,-9.30644027422442,4.14445337756945e-18,4.72941336857497e-16,30.4844070375913
"ZMAT1",2.52119196273052,-0.535745029624574,9.19914619757254,8.92783211231705e-18,9.81406278621862e-16,29.7316427383149
"GJA1",-2.02981032000406,8.68879806394896,-9.19604185306465,9.12766153284112e-18,9.98791237319656e-16,29.7099312184957
"DPF1",-2.1112708316994,1.43090814730732,-9.19065135993733,9.4852510576405e-18,1.02852740427736e-15,29.6722397604692
"KLK7",-4.6358578546321,5.03960305158876,-9.18247828833131,1.00541097947311e-17,1.08530039243665e-15,29.6151142022369
"CLGN",3.4263208644512,-1.16020489077828,9.16692630832101,1.1231649042137e-17,1.18570589271264e-15,29.5064881512137
"AC104031.1",-2.28086047121124,-2.28508863345229,-9.16371794351381,1.14910920870013e-17,1.20777425777587e-15,29.4840907955209
"CDA",-3.33483192104314,3.85142204110291,-9.1522678411401,1.24664162342925e-17,1.29889216799385e-15,29.4041923994791
"KLK5",-5.16779473368223,4.27339164312347,-9.03595248178622,2.8434986315869e-17,2.81576864493176e-15,28.5955773411158
"RNF212",3.57684970200406,0.0405396252203752,9.02961340643583,2.97372805204752e-17,2.93260983700686e-15,28.55166849699
"LINC02826",2.21016446169352,-4.49056330814448,9.02900020795611,2.98663505707287e-17,2.93326731588911e-15,28.547421941758
"SRPX",-2.38151611029974,3.16609042225744,-9.01122271259002,3.38597150866571e-17,3.29839037361796e-15,28.4243761643148
"EPHA6",2.96526165599796,-3.48469371953002,9.0106494952963,3.39969296563026e-17,3.29839037361796e-15,28.4204108652313
"AL121929.2",2.08795906836273,-2.10816087690073,8.97182802959535,4.46946975843381e-17,4.1838427066839e-15,28.1521779178795
"SBSN",-4.41292959386854,7.40315942541327,-8.92702644276696,6.12404418445657e-17,5.666277792908e-15,27.8434121219651
"ADARB2",3.25336132016176,-0.826666971217177,8.92361642344852,6.27241064516071e-17,5.78123264233197e-15,27.8199454769628
"LINC01006",2.13536712351094,1.48395574367362,8.91366738932899,6.72595832917634e-17,6.15194142749548e-15,27.7515076113566
"RIPPLY3",3.20024171469213,-1.35781959997796,8.90614165078711,7.09050102338659e-17,6.46071355606222e-15,27.699767116807
"AL049874.3",2.64384470801789,-4.45621719709925,8.90487036151306,7.15398697267706e-17,6.49386908383459e-15,27.6910292021348
"RHOD",-2.03844220756599,6.16344014119426,-8.87672253247529,8.71336758359873e-17,7.82049216379625e-15,27.4977378523422
"LDHC",3.24583281756185,-2.89950095011488,8.87562127087061,8.78079038129934e-17,7.85159927975587e-15,27.4901823513874
"MMP1",-3.47698028822196,7.71889949624856,-8.87120735469187,9.05625494937184e-17,8.00826913678033e-15,27.459904697941
"CLCA2",-2.33115532009327,8.99987407638854,-8.85647268545824,1.00393421355705e-16,8.81255659109203e-15,27.3588913055768
"MAP7D2",4.16068430592392,-0.198704519732474,8.79056400259872,1.59006035464194e-16,1.3563919781192e-14,26.9081987881234
"ZNF114",-2.53874436084964,1.34513303808698,-8.79052477859896,1.59049468307251e-16,1.3563919781192e-14,26.9079311286574
"FOLR3",-3.69299538458994,-0.443391211050316,-8.75557471923528,2.02817916946754e-16,1.71138329637747e-14,26.6697027115981
"XKR4",3.12342629809011,-3.15477730779444,8.74893685822487,2.12388799751083e-16,1.77729929319133e-14,26.6245176366837
"AL354766.2",3.16334669080953,-3.60035408478635,8.74360165127393,2.20404793620272e-16,1.83395155358202e-14,26.5882139400176
"ASCL4",2.46324085799588,-4.34731976675084,8.73167269554507,2.3942856571086e-16,1.97170658030758e-14,26.5070878891706
"MMP10",-3.8049412838904,5.53171057891493,-8.66282276395732,3.85630451979134e-16,3.09071844522674e-14,26.0400816475852
"AC010198.2",-2.17457704251822,0.315552137913438,-8.64180216036008,4.4585117856709e-16,3.53787339178204e-14,25.8979189079317
"HMGA2",-3.10664058172795,4.04728201987842,-8.62761799475327,4.91660790423776e-16,3.87571025714321e-14,25.8021026416371
"LHFPL4",2.90623785653651,-4.17749674634938,8.61941940594308,5.20234749452151e-16,4.08751001176109e-14,25.7467609779097
"KLK10",-3.50884343808676,6.36169757949147,-8.59822435782744,6.01955598990005e-16,4.71413855365898e-14,25.6038312101597
"AREG",-2.95651182902469,4.88116250239997,-8.54554510173163,8.64330603958188e-16,6.51346496643208e-14,25.2494645002438
"ZNF157",2.25630330653986,-3.5747499381655,8.51115363532516,1.09385908536842e-15,8.16611810647001e-14,25.0187977504011
"SH2D5",-3.0623571214767,2.76666433057585,-8.50078731327248,1.1742103007443e-15,8.68480729846803e-14,24.9493759091905
"CYP4Z1",2.58892523278983,-3.66361936508342,8.45141065851553,1.64470604946645e-15,1.18359566875117e-13,24.6193852950542
"CRB2",3.11314990142723,-2.11307417712028,8.44826807105619,1.68029684190513e-15,1.20558782992259e-13,24.5984210583713
"RAB38",-2.08312823418757,5.56791023718543,-8.43317753065003,1.86211263588593e-15,1.32022684042516e-13,24.4978156435608
