"gene","module"
"ENSG00000126467.11","grey"
"ENSG00000006047.13","yellow"
"ENSG00000224817.2","grey"
"ENSG00000261780.3","turquoise"
"ENSG00000228314.1","turquoise"
"ENSG00000149972.11","blue"
"ENSG00000211593.2","turquoise"
"ENSG00000113296.14","green"
"ENSG00000188293.6","yellow"
"ENSG00000271178.1","turquoise"
"ENSG00000175164.15","blue"
"ENSG00000145358.6","green"
"ENSG00000130822.16","turquoise"
"ENSG00000112936.19","turquoise"
"ENSG00000231346.5","grey"
"ENSG00000135903.20","brown"
"ENSG00000133488.15","blue"
"ENSG00000253755.1","turquoise"
"ENSG00000227748.2","yellow"
"ENSG00000107105.15","blue"
"ENSG00000125798.15","grey"
"ENSG00000174963.18","grey"
"ENSG00000169271.3","green"
"ENSG00000215018.10","grey"
"ENSG00000204421.3","yellow"
"ENSG00000248663.6","blue"
"ENSG00000001626.16","blue"
"ENSG00000211897.9","turquoise"
"ENSG00000165973.19","turquoise"
"ENSG00000243466.1","turquoise"
"ENSG00000198914.5","grey"
"ENSG00000177791.12","green"
"ENSG00000186472.20","yellow"
"ENSG00000187527.11","blue"
"ENSG00000164749.13","yellow"
"ENSG00000257500.1","grey"
"ENSG00000152785.8","blue"
"ENSG00000198643.7","blue"
"ENSG00000099960.13","grey"
"ENSG00000214336.5","blue"
"ENSG00000129152.4","green"
"ENSG00000244437.1","turquoise"
"ENSG00000156738.18","turquoise"
"ENSG00000182912.6","grey"
"ENSG00000211592.8","turquoise"
"ENSG00000186676.3","grey"
"ENSG00000164879.7","green"
"ENSG00000132465.12","turquoise"
"ENSG00000117983.17","blue"
"ENSG00000122133.17","blue"
"ENSG00000253274.1","turquoise"
"ENSG00000181143.15","blue"
"ENSG00000170162.14","green"
"ENSG00000187180.3","yellow"
"ENSG00000105664.11","brown"
"ENSG00000211654.2","turquoise"
"ENSG00000278473.1","turquoise"
"ENSG00000254056.1","turquoise"
"ENSG00000250337.7","grey"
"ENSG00000078328.22","green"
"ENSG00000178372.8","yellow"
"ENSG00000235649.2","brown"
"ENSG00000227300.12","yellow"
"ENSG00000231290.6","yellow"
"ENSG00000254709.8","turquoise"
"ENSG00000070729.14","yellow"
"ENSG00000253768.1","yellow"
"ENSG00000240041.1","turquoise"
"ENSG00000235559.1","grey"
"ENSG00000169248.13","blue"
"ENSG00000228509.6","grey"
"ENSG00000229807.12","red"
"ENSG00000126549.11","blue"
"ENSG00000168509.20","green"
"ENSG00000067646.12","red"
"ENSG00000231292.6","turquoise"
"ENSG00000236107.10","blue"
"ENSG00000163380.16","green"
"ENSG00000233999.3","turquoise"
"ENSG00000173239.14","yellow"
"ENSG00000263961.8","blue"
"ENSG00000249082.2","blue"
"ENSG00000109063.15","green"
"ENSG00000106483.12","brown"
"ENSG00000168481.9","blue"
"ENSG00000242472.1","turquoise"
"ENSG00000211905.1","turquoise"
"ENSG00000108823.16","green"
"ENSG00000257844.2","turquoise"
"ENSG00000223931.2","turquoise"
"ENSG00000187715.13","green"
"ENSG00000012817.16","red"
"ENSG00000166634.6","grey"
"ENSG00000060718.22","brown"
"ENSG00000129824.16","red"
"ENSG00000119919.11","yellow"
"ENSG00000169035.12","yellow"
"ENSG00000107807.13","grey"
"ENSG00000016602.9","blue"
"ENSG00000095917.14","grey"
"ENSG00000166897.16","grey"
"ENSG00000253132.1","turquoise"
"ENSG00000167914.12","yellow"
"ENSG00000159387.8","turquoise"
"ENSG00000211679.2","turquoise"
"ENSG00000214429.3","grey"
"ENSG00000047457.14","blue"
"ENSG00000235280.2","blue"
"ENSG00000196104.11","green"
"ENSG00000072657.9","grey"
"ENSG00000132854.19","brown"
"ENSG00000166589.13","yellow"
"ENSG00000248144.6","blue"
"ENSG00000211893.4","turquoise"
"ENSG00000182898.4","yellow"
"ENSG00000148735.15","blue"
"ENSG00000148798.11","blue"
"ENSG00000253234.1","turquoise"
"ENSG00000211597.2","turquoise"
"ENSG00000197444.10","blue"
"ENSG00000104332.12","turquoise"
"ENSG00000143631.11","yellow"
"ENSG00000134443.10","brown"
"ENSG00000227183.3","grey"
"ENSG00000253691.2","turquoise"
"ENSG00000274276.4","yellow"
"ENSG00000198488.10","blue"
"ENSG00000283227.1","yellow"
"ENSG00000167755.15","yellow"
"ENSG00000260673.1","yellow"
"ENSG00000280356.1","grey"
"ENSG00000172005.11","blue"
"ENSG00000108602.18","blue"
"ENSG00000170689.10","grey"
"ENSG00000010282.15","green"
"ENSG00000157502.13","green"
"ENSG00000087128.10","blue"
"ENSG00000232677.9","grey"
"ENSG00000242512.9","blue"
"ENSG00000260458.3","yellow"
"ENSG00000130054.5","blue"
"ENSG00000111405.9","yellow"
"ENSG00000143297.19","turquoise"
"ENSG00000283178.1","blue"
"ENSG00000185739.13","green"
"ENSG00000276430.3","yellow"
"ENSG00000131771.14","blue"
"ENSG00000268621.6","turquoise"
"ENSG00000185038.14","grey"
"ENSG00000106809.11","brown"
"ENSG00000107187.17","grey"
"ENSG00000233836.7","grey"
"ENSG00000238266.2","yellow"
"ENSG00000283992.2","yellow"
"ENSG00000069482.7","grey"
"ENSG00000136696.11","yellow"
"ENSG00000073067.14","turquoise"
"ENSG00000244649.5","grey"
"ENSG00000162891.10","yellow"
"ENSG00000183273.7","blue"
"ENSG00000149968.12","yellow"
"ENSG00000130055.14","turquoise"
"ENSG00000267577.1","turquoise"
"ENSG00000286540.1","grey"
"ENSG00000067048.17","red"
"ENSG00000273225.4","yellow"
"ENSG00000165246.14","red"
"ENSG00000183770.7","grey"
"ENSG00000163221.9","yellow"
"ENSG00000250697.2","turquoise"
"ENSG00000146938.16","brown"
"ENSG00000283183.2","blue"
"ENSG00000240764.4","yellow"
"ENSG00000189182.10","grey"
"ENSG00000178222.13","grey"
"ENSG00000271573.1","yellow"
"ENSG00000162040.7","blue"
"ENSG00000166948.10","grey"
"ENSG00000243321.3","blue"
"ENSG00000229754.1","turquoise"
"ENSG00000105369.10","turquoise"
"ENSG00000164651.17","grey"
"ENSG00000160862.13","grey"
"ENSG00000223812.8","turquoise"
"ENSG00000181333.12","yellow"
"ENSG00000189127.8","yellow"
"ENSG00000134398.15","blue"
"ENSG00000164308.17","turquoise"
"ENSG00000196616.14","turquoise"
"ENSG00000129654.8","blue"
"ENSG00000150276.8","grey"
"ENSG00000165917.10","green"
"ENSG00000162409.11","green"
"ENSG00000174226.9","blue"
"ENSG00000244128.7","turquoise"
"ENSG00000213030.5","green"
"ENSG00000130528.12","green"
"ENSG00000253545.1","turquoise"
"ENSG00000271130.1","turquoise"
"ENSG00000112183.15","green"
"ENSG00000133878.9","green"
"ENSG00000127241.18","turquoise"
"ENSG00000272405.1","grey"
"ENSG00000198854.5","yellow"
"ENSG00000228695.10","grey"
"ENSG00000159337.7","yellow"
"ENSG00000270472.2","turquoise"
"ENSG00000211676.2","turquoise"
"ENSG00000170835.16","blue"
"ENSG00000240280.7","yellow"
"ENSG00000174145.8","yellow"
"ENSG00000135333.14","blue"
"ENSG00000083782.8","brown"
"ENSG00000203995.10","blue"
"ENSG00000105889.16","grey"
"ENSG00000115616.3","blue"
"ENSG00000165300.7","turquoise"
"ENSG00000253481.2","turquoise"
"ENSG00000237290.2","yellow"
"ENSG00000287826.1","yellow"
"ENSG00000259756.1","grey"
"ENSG00000227827.3","grey"
"ENSG00000170476.16","turquoise"
"ENSG00000253120.1","turquoise"
"ENSG00000204866.8","yellow"
"ENSG00000270864.1","turquoise"
"ENSG00000260318.1","grey"
"ENSG00000174482.10","grey"
"ENSG00000101441.4","grey"
"ENSG00000260197.1","red"
"ENSG00000269994.3","grey"
"ENSG00000183117.19","yellow"
"ENSG00000287023.1","turquoise"
"ENSG00000075461.6","grey"
"ENSG00000169436.17","brown"
"ENSG00000251281.1","turquoise"
"ENSG00000147573.17","green"
"ENSG00000203650.9","grey"
"ENSG00000167653.5","blue"
"ENSG00000286133.2","grey"
"ENSG00000164530.15","turquoise"
"ENSG00000241945.8","grey"
"ENSG00000260658.6","blue"
"ENSG00000188933.16","grey"
"ENSG00000188089.13","yellow"
"ENSG00000238072.1","grey"
"ENSG00000232079.7","blue"
"ENSG00000243284.1","yellow"
"ENSG00000164488.12","grey"
"ENSG00000165621.8","blue"
"ENSG00000105388.16","blue"
"ENSG00000205086.8","blue"
"ENSG00000100170.10","yellow"
"ENSG00000048462.11","turquoise"
"ENSG00000281641.3","blue"
"ENSG00000211677.2","turquoise"
"ENSG00000259663.2","grey"
"ENSG00000253936.1","turquoise"
"ENSG00000105427.10","yellow"
"ENSG00000213058.3","grey"
"ENSG00000104044.16","blue"
"ENSG00000253742.1","turquoise"
"ENSG00000109193.12","grey"
"ENSG00000112333.12","grey"
"ENSG00000162892.16","yellow"
"ENSG00000114790.13","blue"
"ENSG00000234042.1","grey"
"ENSG00000280002.1","grey"
"ENSG00000258932.5","blue"
"ENSG00000148942.15","grey"
"ENSG00000174429.4","green"
"ENSG00000233515.2","grey"
"ENSG00000204021.4","yellow"
"ENSG00000226306.6","green"
"ENSG00000019505.8","brown"
"ENSG00000275325.4","grey"
